v1.1.0_Initiation:True-Batch:100-LR:0.0001-Loss:0-Opti:0-Mom:(0.85, 0.95)_
https://app.neptune.ai/joao.d.oliveira/computer-vision-runs/e/COM1-38
Epoch:    1, Batch:   30, Cur. Loss:  0.3916, Avg. Loss: 0.40417 val-loss: 0.513(MAE) 0.201(MAE-Smooth) 0.434(MSE)
Epoch:   14, Batch:   30, Cur. Loss: 0.11437, Avg. Loss:  0.1108 val-loss: 0.106(MAE) 0.015(MAE-Smooth) 0.033(MSE)
Epoch:   15, Batch:   30, Cur. Loss: 0.10074, Avg. Loss: 0.10395 val-loss: 0.098(MAE) 0.012(MAE-Smooth) 0.025(MSE)
Epoch:   16, Batch:   30, Cur. Loss: 0.13877, Avg. Loss: 0.10549 val-loss: 0.092(MAE) 0.013(MAE-Smooth) 0.03 (MSE)
Epoch:   17, Batch:   30, Cur. Loss: 0.12272, Avg. Loss: 0.10114 val-loss: 0.096(MAE) 0.011(MAE-Smooth) 0.022(MSE)
Epoch:   18, Batch:   30, Cur. Loss:  0.1178, Avg. Loss: 0.09491 val-loss: 0.091(MAE) 0.013(MAE-Smooth) 0.034(MSE)
Epoch:   19, Batch:   30, Cur. Loss: 0.09314, Avg. Loss: 0.09305 val-loss: 0.091(MAE) 0.013(MAE-Smooth) 0.03 (MSE)
Epoch:   20, Batch:   30, Cur. Loss: 0.08891, Avg. Loss: 0.08895 val-loss: 0.087(MAE) 0.013(MAE-Smooth) 0.039(MSE)
Epoch:   21, Batch:   30, Cur. Loss: 0.08154, Avg. Loss: 0.08846 val-loss: 0.088(MAE) 0.014(MAE-Smooth) 0.032(MSE)
Epoch:   22, Batch:   30, Cur. Loss: 0.08137, Avg. Loss: 0.08347 val-loss: 0.081(MAE) 0.01 (MAE-Smooth) 0.024(MSE)
Epoch:   23, Batch:   30, Cur. Loss:  0.0736, Avg. Loss: 0.08423 val-loss: 0.081(MAE) 0.008(MAE-Smooth) 0.016(MSE)
Epoch:   24, Batch:   30, Cur. Loss: 0.09555, Avg. Loss: 0.07952 val-loss: 0.081(MAE) 0.01 (MAE-Smooth) 0.023(MSE)
Epoch:   25, Batch:   30, Cur. Loss: 0.07675, Avg. Loss: 0.07627 val-loss: 0.073(MAE) 0.008(MAE-Smooth) 0.02 (MSE)
Epoch:   26, Batch:   30, Cur. Loss: 0.05962, Avg. Loss: 0.07677 val-loss: 0.075(MAE) 0.009(MAE-Smooth) 0.019(MSE)
Epoch:   27, Batch:   30, Cur. Loss:  0.0811, Avg. Loss: 0.07516 val-loss: 0.073(MAE) 0.011(MAE-Smooth) 0.023(MSE)
Epoch:   28, Batch:   30, Cur. Loss: 0.07372, Avg. Loss: 0.07317 val-loss: 0.073(MAE) 0.011(MAE-Smooth) 0.029(MSE)
Epoch:   29, Batch:   30, Cur. Loss: 0.07328, Avg. Loss: 0.06999 val-loss: 0.078(MAE) 0.007(MAE-Smooth) 0.015(MSE)
Epoch:   30, Batch:   30, Cur. Loss: 0.07041, Avg. Loss: 0.07031 val-loss: 0.07 (MAE) 0.008(MAE-Smooth) 0.019(MSE)
Epoch:   31, Batch:   30, Cur. Loss:  0.0639, Avg. Loss: 0.06972 val-loss: 0.066(MAE) 0.006(MAE-Smooth) 0.013(MSE)
Epoch:   32, Batch:   30, Cur. Loss: 0.07787, Avg. Loss: 0.06833 val-loss: 0.061(MAE) 0.005(MAE-Smooth) 0.009(MSE)
Epoch:   33, Batch:   30, Cur. Loss:  0.0918, Avg. Loss: 0.06523 val-loss: 0.065(MAE) 0.007(MAE-Smooth) 0.017(MSE)
Epoch:   34, Batch:   30, Cur. Loss: 0.05743, Avg. Loss: 0.06412 val-loss: 0.071(MAE) 0.009(MAE-Smooth) 0.021(MSE)
Epoch:   35, Batch:   30, Cur. Loss: 0.06329, Avg. Loss: 0.06217 val-loss: 0.063(MAE) 0.006(MAE-Smooth) 0.012(MSE)
Epoch:   36, Batch:   30, Cur. Loss: 0.06434, Avg. Loss: 0.06281 val-loss: 0.063(MAE) 0.007(MAE-Smooth) 0.019(MSE)
Epoch:   37, Batch:   30, Cur. Loss: 0.06507, Avg. Loss: 0.06065 val-loss: 0.06 (MAE) 0.006(MAE-Smooth) 0.013(MSE)
Epoch:   38, Batch:   30, Cur. Loss: 0.05517, Avg. Loss: 0.05953 val-loss: 0.062(MAE) 0.005(MAE-Smooth) 0.009(MSE)
Epoch:   39, Batch:   30, Cur. Loss: 0.05199, Avg. Loss: 0.05942 val-loss: 0.06 (MAE) 0.006(MAE-Smooth) 0.012(MSE)
Epoch:   40, Batch:   30, Cur. Loss: 0.05077, Avg. Loss: 0.05815 val-loss: 0.07 (MAE) 0.008(MAE-Smooth) 0.023(MSE)
Epoch:   41, Batch:   30, Cur. Loss: 0.05655, Avg. Loss: 0.05895 val-loss: 0.06 (MAE) 0.007(MAE-Smooth) 0.017(MSE)
Epoch:   42, Batch:   30, Cur. Loss: 0.04589, Avg. Loss: 0.05845 val-loss: 0.058(MAE) 0.004(MAE-Smooth) 0.008(MSE)
Epoch:   43, Batch:   30, Cur. Loss: 0.05358, Avg. Loss: 0.05395 val-loss: 0.055(MAE) 0.005(MAE-Smooth) 0.01 (MSE)
Epoch:   44, Batch:   30, Cur. Loss: 0.05121, Avg. Loss: 0.05621 val-loss: 0.055(MAE) 0.004(MAE-Smooth) 0.008(MSE)
Epoch:   45, Batch:   30, Cur. Loss: 0.05155, Avg. Loss: 0.05271 val-loss: 0.058(MAE) 0.006(MAE-Smooth) 0.014(MSE)
Epoch:   46, Batch:   30, Cur. Loss: 0.05044, Avg. Loss: 0.05281 val-loss: 0.059(MAE) 0.003(MAE-Smooth) 0.007(MSE)
Epoch:   47, Batch:   30, Cur. Loss: 0.04478, Avg. Loss: 0.05083 val-loss: 0.061(MAE) 0.006(MAE-Smooth) 0.018(MSE)
Epoch:   48, Batch:   30, Cur. Loss: 0.04943, Avg. Loss: 0.05311 val-loss: 0.059(MAE) 0.008(MAE-Smooth) 0.033(MSE)
Epoch:   49, Batch:   30, Cur. Loss: 0.04917, Avg. Loss: 0.05266 val-loss: 0.056(MAE) 0.004(MAE-Smooth) 0.008(MSE)
Epoch:   50, Batch:   30, Cur. Loss: 0.04673, Avg. Loss: 0.05047 val-loss: 0.054(MAE) 0.006(MAE-Smooth) 0.023(MSE)
Epoch:   51, Batch:   30, Cur. Loss: 0.04914, Avg. Loss: 0.05074 val-loss: 0.055(MAE) 0.007(MAE-Smooth) 0.021(MSE)
Epoch:   52, Batch:   30, Cur. Loss: 0.04232, Avg. Loss: 0.04831 val-loss: 0.054(MAE) 0.004(MAE-Smooth) 0.009(MSE)
Epoch:   53, Batch:   30, Cur. Loss: 0.04325, Avg. Loss: 0.04924 val-loss: 0.053(MAE) 0.005(MAE-Smooth) 0.016(MSE)
Epoch:   54, Batch:   30, Cur. Loss: 0.04995, Avg. Loss: 0.04888 val-loss: 0.059(MAE) 0.005(MAE-Smooth) 0.01 (MSE)
Epoch:   55, Batch:   30, Cur. Loss: 0.05135, Avg. Loss: 0.04873 val-loss: 0.053(MAE) 0.007(MAE-Smooth) 0.026(MSE)
Epoch:   56, Batch:   30, Cur. Loss: 0.04412, Avg. Loss: 0.04742 val-loss: 0.049(MAE) 0.005(MAE-Smooth) 0.015(MSE)
Epoch:   57, Batch:   30, Cur. Loss: 0.04263, Avg. Loss: 0.04756 val-loss: 0.048(MAE) 0.003(MAE-Smooth) 0.005(MSE)
Epoch:   58, Batch:   30, Cur. Loss: 0.05863, Avg. Loss: 0.04461 val-loss: 0.055(MAE) 0.006(MAE-Smooth) 0.02 (MSE)
Epoch:   59, Batch:   30, Cur. Loss: 0.03823, Avg. Loss: 0.04548 val-loss: 0.054(MAE) 0.005(MAE-Smooth) 0.01 (MSE)
Epoch:   60, Batch:   30, Cur. Loss: 0.04406, Avg. Loss: 0.04519 val-loss: 0.05 (MAE) 0.004(MAE-Smooth) 0.01 (MSE)
Epoch:   61, Batch:   30, Cur. Loss: 0.05276, Avg. Loss: 0.04432 val-loss: 0.049(MAE) 0.003(MAE-Smooth) 0.006(MSE)
Epoch:   62, Batch:   30, Cur. Loss: 0.05533, Avg. Loss: 0.04471 val-loss: 0.051(MAE) 0.004(MAE-Smooth) 0.009(MSE)
Epoch:   63, Batch:   30, Cur. Loss: 0.04324, Avg. Loss: 0.04286 val-loss: 0.053(MAE) 0.008(MAE-Smooth) 0.035(MSE)
Epoch:   64, Batch:   30, Cur. Loss: 0.04324, Avg. Loss: 0.04456 val-loss: 0.048(MAE) 0.003(MAE-Smooth) 0.006(MSE)
Epoch:   65, Batch:   30, Cur. Loss: 0.03905, Avg. Loss:  0.0466 val-loss: 0.045(MAE) 0.002(MAE-Smooth) 0.004(MSE)
Epoch:   66, Batch:   30, Cur. Loss: 0.04098, Avg. Loss: 0.04383 val-loss: 0.051(MAE) 0.004(MAE-Smooth) 0.007(MSE)
Epoch:   67, Batch:   30, Cur. Loss: 0.03682, Avg. Loss: 0.04048 val-loss: 0.049(MAE) 0.004(MAE-Smooth) 0.01 (MSE)
Epoch:   68, Batch:   30, Cur. Loss: 0.04424, Avg. Loss: 0.04461 val-loss: 0.05 (MAE) 0.004(MAE-Smooth) 0.009(MSE)
Epoch:   69, Batch:   30, Cur. Loss: 0.03593, Avg. Loss: 0.04247 val-loss: 0.05 (MAE) 0.006(MAE-Smooth) 0.024(MSE)
Epoch:   70, Batch:   30, Cur. Loss: 0.04008, Avg. Loss: 0.04164 val-loss: 0.046(MAE) 0.003(MAE-Smooth) 0.006(MSE)
Epoch:   71, Batch:   30, Cur. Loss: 0.04065, Avg. Loss: 0.04309 val-loss: 0.046(MAE) 0.004(MAE-Smooth) 0.011(MSE)
Epoch:   72, Batch:   30, Cur. Loss:  0.0395, Avg. Loss: 0.04085 val-loss: 0.046(MAE) 0.003(MAE-Smooth) 0.005(MSE)
Epoch:   73, Batch:   30, Cur. Loss: 0.03531, Avg. Loss: 0.03879 val-loss: 0.045(MAE) 0.003(MAE-Smooth) 0.006(MSE)
Epoch:   74, Batch:   30, Cur. Loss: 0.04354, Avg. Loss: 0.04141 val-loss: 0.051(MAE) 0.005(MAE-Smooth) 0.016(MSE)
Epoch:   75, Batch:   30, Cur. Loss: 0.03492, Avg. Loss: 0.03792 val-loss: 0.047(MAE) 0.004(MAE-Smooth) 0.012(MSE)
Epoch:   76, Batch:   30, Cur. Loss: 0.03797, Avg. Loss: 0.04195 val-loss: 0.047(MAE) 0.003(MAE-Smooth) 0.005(MSE)
Epoch:   77, Batch:   30, Cur. Loss: 0.04307, Avg. Loss: 0.03957 val-loss: 0.051(MAE) 0.006(MAE-Smooth) 0.022(MSE)
Epoch:   78, Batch:   30, Cur. Loss: 0.04337, Avg. Loss: 0.03982 val-loss: 0.048(MAE) 0.004(MAE-Smooth) 0.008(MSE)
Epoch:   79, Batch:   30, Cur. Loss: 0.04928, Avg. Loss: 0.03886 val-loss: 0.05 (MAE) 0.004(MAE-Smooth) 0.008(MSE)
Epoch:   80, Batch:   30, Cur. Loss: 0.03497, Avg. Loss: 0.03738 val-loss: 0.051(MAE) 0.004(MAE-Smooth) 0.01 (MSE)
Epoch:   81, Batch:   30, Cur. Loss: 0.03971, Avg. Loss: 0.04039 val-loss: 0.046(MAE) 0.003(MAE-Smooth) 0.006(MSE)
Epoch:   82, Batch:   30, Cur. Loss:   0.035, Avg. Loss: 0.03728 val-loss: 0.047(MAE) 0.003(MAE-Smooth) 0.006(MSE)
Epoch:   83, Batch:   30, Cur. Loss: 0.04012, Avg. Loss: 0.03726 val-loss: 0.047(MAE) 0.005(MAE-Smooth) 0.019(MSE)
Epoch:   84, Batch:   30, Cur. Loss: 0.03341, Avg. Loss: 0.03741 val-loss: 0.047(MAE) 0.003(MAE-Smooth) 0.006(MSE)
EARLY STOPPING at 83 epoch, stopped learning in the past 20, took 1613.0392382144928 seg
Shutting down background jobs, please wait a moment...
Done!
Waiting for the remaining 345 operations to synchronize with Neptune. Do not kill this process.
All 345 operations synced, thanks for waiting!
